id;st;us   ;facies;forme;morphologie;aspect;longueur;largeur;epaisseur;poids;magnetisme
517;397;us_4 ;SGD+SFR_avec_traces_de_verre_bleu;Rond;Aplatie;Régulier ;30;28;9;5;Faible 
518;192;us_1;SGD+SFR_avec_traces_de_verre_bleu;Rond;Plano-Convexe;Régulier ;21;28;21;8;Faible 
519;397;us_3;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Aplatie;Irrégulier;46;64;20;59;Local
520;420;us_2;SGD+SFR_avec_traces_de_verre_bleu;Semi-circulaire;Bombo-convexe;Déchiqueté;37;67;39;57;Local
521;420;us_2;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;27;43;27;22;Faible 
522;420;us_2;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;26;39;27;18;Local
523;403;surface;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Bombo-convexe;Lisse;26;33;21;11;Local
524;403;surface;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Bombo-convexe;Lisse;14;29;17;10;Local
525;405;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Plano-Convexe;Irrégulier;30;41;18;15;Local
526;779;surface;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Plano-Convexe;Irrégulier;28;55;28;55;Local
527;406;;SGD+SFR_avec_traces_de_verre_bleu;Rond;Aplatie;Régulier ;23;23;13;5;Aucun
528;407;;SGD+SFR_avec_traces_de_verre_bleu;Rond;Concavo-convexe;Régulier ;34;37;21;22;Local
529;407;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large avec 1 bord d'appui rectiligne en TC;Plano-convexe tronquée;Régulier ;32;37;29;25;Faible 
530;407;;SGD+SFR_avec_traces_de_verre_bleu;Semi-circulaire;Plano-Convexe;Régulier ;34;40;23;21;Local
531;407;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Plano-Convexe;Régulier ;27;42;23;19;Aucun
532;407;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Aplatie;Régulier ;25;30;12;11;Fort
533;407;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Plano-Convexe;Lisse;25;35;15;9;Faible 
534;407;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Aplatie;Lisse;30;41;17;19;Fort
535;420;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Plano-Convexe;Irrégulier;41;51;44;50;Local
536;407;us_1 ;SGD+SFR_avec_traces_de_verre_bleu;Rond;Aplatie;Lisse;32;39;14;13;Aucun
537;403;;SGD+SFR_avec_traces_de_verre_bleu;Semi-circulaire;Plano-Convexe;Irrégulier;30;36;26;17;Aucun
538;403;;SGD+SFR_avec_traces_de_verre_bleu;Semi-circulaire;Aplatie;Régulier ;26;33;19;10;Faible 
539;403;;SGD+SFR_avec_traces_de_verre_bleu;Semi-circulaire;Aplatie;Régulier ;40;48;14;25;Faible 
540;407;2eme_moitie;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Aplatie;Lisse;31;39;22;17;Faible 
541;403;;SGD+SFR_avec_traces_de_verre_bleu;Semi-circulaire;Aplatie;Lisse;24;28;16;8;Fort
542;403;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Aplatie;Régulier ;29;45;15;15;Fort
543;403;;SGD+SFR_avec_traces_de_verre_bleu;Rond;Plano-Convexe;Lisse;23;24;15;8;Aucun
544;403;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Plano-Convexe;Régulier ;26;34;21;16;Local
545;403;;SGD+SFR_avec_traces_de_verre_bleu;Ovale Large;Aplatie;Régulier ;23;33;16;7;Local
546;403;;SGD+SFR_avec_traces_de_verre_bleu;Irrégulière;Plano-Convexe;Régulier ;35;49;26;26;Faible 
